id,question,set_id
9360,my son will be 6 months next.... what should i introduce him first thing to eat????,2
9445,my baby only eats four or five spoon of solid food every time is that enough at the age of 9month.,10
9459,Hello my daughter wil complete 4 months may i start fruits,100
9493,I just wanna ask what is the diet chart dor 6 month old baby...,5
9497,"What all i can give my baby boy to eat except daliya,  khichdi.. He is 10th month old",10
9580,what food I give to my one year daughter to eat,6
9646,how to improve breast milk,7
9649,how to increase my lactation??,7
9658,Hi.. My son is 5months old. Can I start giving him some food like banana or anything else?,2
9691,how to increase lactation?,7
9706,"My daughter is 10 mnths oldWhat would be the eating pattern for her,???",10
9729,how can I increase brest feeding?,7
9753,How to increase brest milk?,7
9759,My baby girl is 5 months old .plz suggest me some food for her and quantity?,100
9770,what type of food I should give to my son of 10 months old,10
9785,What r the easiest food recipes for 11months baby?,10
9800,my baby is 7 month which tpye food I can give him,10
9802,hi... my son is 7 months old. he does not like eating anything... what to do???,6
9810,my baby is 8 month old. what type of food should I gave him?,10
9832,"Hi, My baby boy is of 10 months old so what should be the frequency of giveing food to him?",17
9853,"Hi, my baby is 10 months old,  what food can i give? how many times she should have her meal?",10
9919,breast feeding how to improve,7
9926,what is the best breakfast for my 9 month old son,10
9930,my baby is 8 month old but his weight is only 5 kg. pls suggest what should I do,10
9935,hw to increase my breast milk for feeding,7
29960,my baby is one year old he can't eat anything what can I do..,5
29987,My baby is 4 months old. I have to go office .please suggest food inspire of my feeding,7
29989,"Hi, in 3rd  month  can we increase  milk  supply",7
30008,"Hi, my baby is two months old, she is not gaining weight and she is going for frequent urine???",7
30059,hi my baby is about to complete her 6 months which food i can start with,2
30062,Hello. ..Pl what should I start first after 6 months for my baby which he can digest easily. ?,5
30069,hi my son iz 4 months whn i can start giving him solids ??,2
30172,my baby is 9 months old what food can I give him? and gripe water is necessary to give. ?,10
30202,My babies are 9months old but they are under weight? what to do pls advice?,93
30213,what food I can give to my 6 months babh girl..,2
30251,what is best food for my 6 month old baby,2
30257,my baby is 1 year old . she is not eating properly. what type of food may be served?,10
30279,hi. my son is 1year old. its a big job to feed him. he dont eat anything. wat should I do?,13
30316,my baby was 6month old now... but last 2month he don't put on his weight.. so what can I do?,2
30343,what should be the food routine of my 7 and a half month old baby?,17
30368,What type of food should I start to my baby,2
30372,my baby is 10 month old can u suggest what typ of solid food can v feed them,10
30389,hi.. my son is 2 months old and is on formula milk. when can I start semi solid food for him..,100
30390,which type of diet is good for 6 month baby,2
30416,what all solids can I introduce to my 5 month 15 days old baby weighing 7 kg.,2
30420,please tell me food to be given to 5 month baby.,2
30463,My daughter is four n half months old... what should I start giving her rather than milk,100
30525,"my baby is 6 months ola ,what should be his diet",2
30562,how to increase breast milk,7
30581,my son is 6and half months old. what diet should I give him.,2
30585,what essential nutrient things should be given to a 9 months old child ?,10
30588,My one year daughter is very thin what to do,6
30609,Hi my baby is 11mnths old but she doesn't sit by herself nor does she eat properly anything,6
30614,my 9 month baby not interested in eating food,6
30902,hi my baby girl 2mns old. iam using NAN-1 formula powder is best powder or not ple tel me,7
30903,hi my baby is 6 months old now which type food I can give her,2
31015,can I consume Himalaya shatavari to increase by breast milk?,7
31018,my baby complete 4 months can I give him solids,100
31021,i hve 10mnths old baby girl... wat food shuld i gve... so dat c gets proper diet in a bal. way????,151
31144,Hi my baby is six months wat to feed her dat she cn digest easily,2
31157,what can i give my daughter to eat she us 6 months old can i have a diet chat ?,2
31171,My baby is 4+ months old. Is it fine to give topfeed with breastfeed?,7
31204,Wht all food can i give to my 6mnths old daughter,2
31217,my baby is one month old i m  breast feeding her should i also bottle feed her as i m working lady,7
31229,my daughter is 10 months old and she don't eat properly.,10
31257,"hii my daughter is going to turn to 6th month,can I prefer cerelac,ragi,any food or liquid",2
31373,hello.. my baby girl now 6 mnths old... plz give some advice about her health.. and food..,2
31393,which foods should i start with my 6 month old baby... he feels v hungry at times,2
31413,"My son is 10 months old, What type of home made food we can give to him?",10
31437,My baby is 11 months old and not gaining weight?,6
31453,Hi my daughter is 10 months old .Need ideas on feeding solid food please,5
31478,my lil is 6 months old.. what food s good for him,2
31483,my baby is 9 month old and she is entirely on cows milk. what should i do?,5
31492,What type of food can I give to my 5 months old baby..,100
31495,what food to give to my baby,40
31530,I combine my breast feeding with bottle feeding as my milk is too less ...is it right,7
31558,Food diat for 5 month baby????,100
31560,Can I give cow's milk to My 6 month old along with breast milk?,7
31576,"my baby is 11 month old and he doesn't eat vegetables .he doesn't lile upma,dalia,rice and dal.",6
31664,Hi can you please share some receipes for 8 months old baby boy?And how can I increase his weight,13
31665,hii.. my daughter is 6mnths old now.. can I give her banana,2
31681,"my baby turned 6 months, what shall I feed her please give some ideas.. I am cery confused",2
31711,what to give as a solid food to 8 month old baby,10
31796,what r the food v can give 9 month baby,17
31811,what food should I give to my baby after 6months,2
31828,hi my baby is 5 months old I  can start giving dal  water and cerelac,2
31844,what should me daily feef chart for 6 mths old baby.,2
31867,hi my baby is 3mnths 6 days old apart from breast milk wat else can i start him wid?,100
31962,my baby is  going to be 4 months old wat food can we give to her plz reply,100
31979,is it advisable to give my 8 months old baby to give cow milk along with breastfeeding?,7
32016,wat can we feed 6months old baby??,2
32235,My son is 11 months now. Can u suggest solid foids pleasr????,6
32239,what food should b given to 10 months child,10
32279,my boy is 10months old wat food should i prefer daily,40
32280,baby is 5. 5M old... need to explore foods to be introduced at a start stage! help pls,2
32315,what food should I give to 5. 10 days baby,2
32326,Hello my baby is 6 month now and what type of food he should have,2
32334,i need some good homemade food for age 5 month,2
32350,baby weight to b increased she 7 months old she is not gaining weight,13
32351,my baby is 11 months his teeth are not yet come so what can I feed him?,40
32413,what should I introduce to my six month baby,2
32423,"my baby is nine months old,what can i give in food?",10
32431,my daughter does not eat properly .,5
32452,6th month old baby food list?,2
32454,my baby is 9months old and she does not eat any solid or liquid food plz give me any suggestions,6
32465,my baby just completed 4 month what should I give her in food whereby she get the proper protein...,100
32488,my son is 7 month old and he stop taking food and do vomit and also he does potty 3 times a day,5
32530,my bBy id refusing food what food I can give,5
32543,my baby won't eat properly n also she doesn't  like to drink water,10
32573,"Hi, can you please give me diet plan for a 6 month old baby ? My baby is active but not plumpy",2
32595,shall I start rice water in 3rd month for a baby ..,100
32599,she is 4 month old my feeding is not sufficient for her,7
32602,pls do suggest me wat kind of food can I give to my baby who is 8 months old,10
32639,my baby is 6 months old I want to introduce solid food along with breastfeed so what do u suggest?,2
32650,hii my baby 3 months old when we give something for eat?,100
32675,can u explain on initial solids to be given to a 6 month old.,2
32696,Hii.... my baby is 6 mnths oldPlz suggest some food...,2
32721,How often do I need to feed my 7 month old baby?,17
32758,my baby is 4 months n is only on breastfeeding should I start weaning or giving water,100
32805,What food should I proceed for 7 months girl baby for breastfeeding,10
32830,what food I have to feed my baby,6
32832,my baby is 10 months old what type of food can I feed my baby,10
32837,can I feed ragi malt for my 5 months old baby,100
32855,food that is to be given to 12 months baby,10
32877,my baby is 9 month old what different foods I give him?,40
32882,food for my baby,10
32901,what type of foods can give for my child,2
32924,My baby is 5 months old every half an hour he demands for milk it is good or not,7
33009,which type of food can give to my 7 month child,40
33032,my baby is 7 mnths old what can be started as solid food ....,40
33043,my baby is 7month  can I start packet milk now,7
33082,wat kind of food i can introduce yo my 6 month baby and at how many times,5
33102,Hai my son is 10months old what food should I want to give at this age group,10
33171,suggest few food items for 9 month old baby with no teeth yet,10
33215,Hi! my daughter is 6. 5 months now.. what all food can I start feeding her now? Thanks,2
33272,what type of foods given to six month baby can I gave cerlac,2
33278,my baby turned in to 7 mnths. what food can i start. ?,10
33282,my baby is 3 months old . What should be my diet to keep him healthy n safe from gastric problems?,7
33333,my baby is 6 months old so what kind of food i should start to weaning off?,5
33345,what can I make my baby eat so that she can gain weight,6
33394,my baby is nine month.. so what i should to eat her,17
33454,can I start weaning my 6 month 15 days old baby?,5
33475,Which food is good for 1st time for my daughter is 6months.,5
33507,my baby boy is 9 month which type of food i give him. pls tell me home made food for baby,17
33516,shall I start orange juice in 4th month,100
33605,how to increase weight in babies of seven months old,13
33612,plz suggest me nutrition diet for my 10 mnth old girl child,6
33616,my baby is of 4  plus .she get a little breast milk .now is it possible to increase breast milk?,7
33621,my son is 1 yr  old he suffering form cold & cough which food is good for his health?,10
33665,Hi  .friends.my baby is  5  mnth old can i  give cerelac to him,100
33805,what to do to get the weight of my baby,13
33835,my daughter is 8 months old but doesn't have a proper diet what food shall I give her,17
33896,My baby is of 6 month now.. how should i start his fooding..,5
33934,"my kid entered to 7 months, pls suggest what to give the food, I am just giving cirelac",17
33998,hi please suggest me balance diet for my 10 month daughter.,10
34004,hello my baby is 6month which type of solid food should I give to him,2
34023,my baby is 6months old.. what type of foods should I feed,2
34037,My baby girl is8 months old what all she can eat now?,10
34042,my son is thin what should I give him to gain some weight,13
34045,Hello. what should I feed to 8 months baby?,13
34059,my baby girl is 6 months oldwhat type off foods we can start feeding...,2
34153,"hi, my son is 10 months old..... which nutrition food I ll iv to him?????",10
34161,which is the best time to start solid to 6 months and when to start with 2 meals??,2
34219,my 9 months baby girl didn't eat anything only take breastfeed what should I do,5
34223,hi.. my baby 6 month old. she alway try to chew everything nd also chew her finger,2
34238,I have 7 month old baby boy which food I Eat him,17
34274,hi. my son would turn six months on this 28. please suggest what can I prepare for him,2
34286,"my son is 4 months old,can I start to give him something in liquid diet?",100
34302,indian foods to give baby while introducing solids,2
34337,My bavy z 11 months old nd choosy of food. What to feed?,6
34347,Wat shall I give in food to my 6 mnths baby??,2
34397,best food for 8months old baby,17
34443,My son dose not eat anything more than 3 or 4 spoonful he nevar eat boiled rice,5
34457,my daughter turned to 7 month what should I prefer in food,10
34498,hi when can I introduce solid food for my 3 months old baby,100
34505,"hi, my child is 7 and a half months old. how many times can I give cerelac to him in a day?",17
34512,how much and how many time food should be given to my 10 month old baby except breast feeding. ??,17
34573,my baby is 6 months now and I started to work.  wat food I can give her,2
34587,Hello what are the options if Dodd which I can give to my 8 months old,10
34604,my baby is 11 months old n she is not having anything except breast feeding,6
34722,i m mother of 9 months old baby. what should i gave to him other than baby cerals?,6
34731,my baby is +10month wat should be his diet for his healthy growth .but he is very fussy in feefing,10
34751,wat sort of diet should I follow for my 7 month old kid,17
34791,"what type of food n fruits are recommended for 7 months ,can we start to give egg n non veg soup",10
34799,hello my baby just completed 7 months. but he dont like to eat anything.. what should i do?,6
34811,hi.. my baby is 5 months old.. what should I make her eat?,100
34832,my baby remains hungry even after breast feeding what can l do?,7
34865,hi my baby 4 months mother milk is not sufficient what can I do?,7
34881,my child is 1 year old plz give me food plan for baby.............,17
34916,my daughter is 9 month old .what type of food should I give to her for complete nutrition,10
35029,hi my baby is 7 month old but she cannot  eat properly,17
35046,My baby is 10 months old. She is not eating food properly. Wat to do??,6
35052,food for 6 month baby,2
35081,healthy food for my baby?,17
35088,"Hi, my baby is 6+ and i would like to know what  all foods / juices can be started? Thanks",2
35116,hiii my daughter is 6 months old what all food can be given to her.,2
35146,helo!my son is 11 month old... what all food can be given to him....,10
35165,hi my child is 3 months old whether we can start additional food,100
35188,My baby is 6months old he is not liking any food items i have tried what should bi make him eat.,2
35205,what should be the diet of 10 month old baby boy of mine,40
35213,my daughter isn't having meal properly specially milk... what should I do?,17
35249,can you suggest som food for my 9 month old baby..,17
35259,My baby is for months old.  When should I start with solid food.,100
35306,what should I give to my 7 month baby to eat,17
35349,my 9 months old baby weight is too less how to increase her weight?,6
35369,what should be given to apart fr bm to 6monrh infant,2
35378,my daughter is 6mnths old.. wht should I giv her to eat,2
35396,Hiii my son is 7 months old now. Do guide me what all can I give him now......,17
35514,my baby is6 month old what to give them for eat,2
35539,"Hai she 6. 5 months old ,can I start weaning like cerelac rice , wheat ,wheat apple now",2
35550,what is the best food for 6months old baby boy,5
35558,which type of solid food can give my 6 month old baby boy,5
36505,my child is 6 month old so what can I give her to now. For eating,2
36515,hy my baby is 6month cross what diet recip,2
36561,please suggest diet for 4months completed child,100
36622,my baby is 6 month old now. what can I give as semi solid food?,2
36686,Hi madam can I give my 5 months baby to egg yolk because he is very thin.,100
36712,my baby is now 6months old. what should I start giving her other than breastmilk.,5
36791,Can I gve carrot smoothie to 120 days old baby,100
36811,hi what kind of milk is more beneficial for my baby cow milk or formula milk,7
36831,my baby is seven months old. what should be the diet chart of seven month old baby,17
36882,"Hi, what diet should i give to my 7 months old baby",17
36892,what should i give my baby after 6 months to eat...,5
36941,please tell me some food supplements for 7 months old baby just like ceralac,68
36952,diet plan for 6 month old baby,5
36956,my baby is 8 month old .what should be eat,17
36958,My son is 2months old which formula is best along with breast feed,7
36971,Hi my baby is 7 months old. Please give some suggestions to control vomits and to gain weight.,17
37001,"My son is one n half yrs old , he refuses to eat .which type food can I giv him",5
37005,pls suggest breakfast recipes for my 10 months old daughter?,10
37014,hi my lol is nine months old he is 7. 4kg  not gaining weight plz help what to do... very upset,6
37025,plz suggest me what can I give my 8 month son?,6
37040,what should be the ideal diet plan for the day of a 7 mnth old baby..,6
37058,what food can I give to my 8months old baby pls can u give me a chart and food recipes.,17
37202,food suggestions for my 7 months baby....,6
37241,Hi what is the ideal first food to start at 6 months during weaning,5
37259,What all type of food should i give to my 7 months baby?,10
37293,"hi... which food to give my son in break fast,lunch n dinner?",13
37347,My baby is of 6 nd a half month .....what shall i give her solid food,2
37355,my daughter is 8 months old .she weighs 6. 5 kg. is she underweight.,31
37356,What should be the frequency of feeding to a 10 months old baby and what to feed,17
37367,what should. I give to my 8 month daughter .,17
37379,What to feed my son in eight month?,13
37392,I wanna start feeding my baby with biscuit & milk so wich milk shud I use for it,5
37394,what should we feed a 4 months old baby when breast milk seems insufficient?,7
37438,my son now cross 9 month so pls suggest what food to be given,13
37445,"my son is 6 month old,suggest me first solid food for him",2
37547,My baby is seven month old which food should start and how to gain weight,13
37587,hi my baby is 4 n half months old can I start giving her some liquid milk item,100
37592,Waht food to start wid my 6 month old baby???,2
37597,my 9month baby need. some healthy food may I know better suggestion,17
37621,"my baby weight is 5. 5 only (8 months) ,how can improve weight ?",6
37641,my baby is 9 month old. plz suggest food for him,17
37675,what can be given as food to my 9 months baby boy,17
37677,my baby is  22 days .but her weight is  only 3 kg. what's method is growing weight,7
37693,how many times I should feed my baby. and what and all good I can give her,17
37700,which type of home made food can a baby of 8months eat and digest,17
37724,"what all fruits, veggie, nuts and cereals can I give to my baby (she 6 months and above )",2
37817,what food should I feed my lil one,17
37918,how can i make my baby's IQ high through nutrition from her neonatal period itself?,7
37979,my daughter 9 month old she is not interest take milk so pls suggest which food we have to start ?,17
37982,my son 7month old which type of food we gave to him,17
38003,what sould i give to feed my 7 month baby boy,17
38055,what sort of food to be given to my child once he complete his 6 months,2
38076,What are eating things given to the baby during 4months,100
38245,please provide a diet chart for 6 month old baby. .,5
38264,hello... my baby is 10 month old and his weight is 7. 4kg. is it normal?,6
38280,"can I give paste of 2 drops honey, formula milk nd rosted semolina too my baby?? plz advise",100
38306,can I give dal pani or apple to my 5 month old  baby,100
38404,"weight of 7 month baby is 6. 95 ,is that fine? please suggest food for 8month + baby",6
38405,my boy is 6 month old what should I started to give him food,5
38437,hello man please tell me what type of food can I give for my 11months old child,17
38494,What will be the best food for my 6 month baby apart from milk,5
38501,hello.. plz give me an food chart for 6 month baby...,5
38535,i need some complementry food fr my seven months old baby,17
38590,hello mam my daughter is 5 months old. should I start semisolid or something else except milk?,2
38633,what food mother to eat for good nutrition of baby,7
38647,food for my nine month baby,17
38669,please tell what diet should I give to my baby,17
38683,7 months baby food,17
38710,my 11th boy properly not taking food. which type of food give to him. will give dates to him?,6
38718,can I feed milk to my 10month baby boy with bottle. is amul milk is safe for him?,7
38762,hello ....what to feed for my 7mth old baby n how many times have to feed in a day?,17
38771,my son is not eating well which food I can give Home?,17
38772,9 month baby food?,6
38801,my son is 11 months old but still he doesn't eat anything wants just milk I m afraid,10
38805,I want to know different veg recipes for my 7 mnth old baby plz tell??,17
38820,How many times should 9 months old baby fed and what quantity should be given to 9 months old baby?,17
38822,Please suggest healthy diet for my son for weight gain,6
38828,"hi mam, what will the starting food for my 6 month baby",5
38857,my baby is 10 months old and her weight is 6. 55 . is it sufficient Weight for her ?,6
38858,my baby is 9months old. please suggest some recipes for her lunch and dinner,6
38892,hi what tasty food can I give my daughter after 5 months,2
38920,My son 1 year he does not eat solid food .what should i do...,5
38930,Heyy. My son is 4 mnths. What food shud i start giving him.  Since he's on my feed only.,100
38945,"my daughter is 5month 10days old, can I start solid food for her.",2
38976,"hello mam,my son is 10months old . what kind of food I should give please inform me",17
38989,What food I'll give to my beby?,40
38996,What all food items can be given to 7month old son and recepies also please,17
38999,wat sud I give to my 6 months old son ?,5
39002,my baby is 9month old she doesnt eat food only on breastfeed what should i do??,5
39027,my baby is 6 month old. what should I give him for good  health,2
39043,"My son completed 10 months, which type of food is healthier for him.",40
39044,hi my baby has completed 11 months what healthy and tasty  diet can i follow for him?,17
39057,please mujhe 6 month baby ki food list bats dijiye,5
39090,My baby will be 6 months in the month. of April.. plz suggest me his diet.,2
39207,wat shud i feed my 7 months old babies,40
39218,"Hello,my baby is 7 mnth old.... plz tell me which home made food i make for him.. ?",17
39227,which food should I give to my 8 months old son so that he become healthy,13
39242,My son is 10 months old. what kind of food should i give?ashes lepcha,10
39271,what diet should I give to my daughter of 10months old,17
39286,what should I give a 7 month old baby as a  beside mother milk?,17
39295,hii.. my son is 8 mnth old what kind of food can i give him..,17
39319,My baby is 9 n he doesn't eat anything except my feed ..pls sugest.....,17
39379,my baby is 5 months old... can i start solid foods... what to start with,2
39389,please give me the fodd chart for 6 month baby,5
39419,my baby doesn't drink milk in bottle he only feeds me nothing else what food should I give him,6
39422,my baby is 8 months old .what food i give? please suggest,17
39428,Hello.. my daughter is 6 months old... her weight is 5. 7 so wats d actual weight?,31
39452,Wat food I shd give now n timing...,2
39487,please give some recepy  for 7month old baby,17
39498,which food for my 9 mnth old baby,40
39502,What can introduce the food for 4 months old baby?,100
39506,my baby is six months nw she is not taking any kind foods  can suggest some ideas,2
39557,hi my child is 7month old. suggest food  to my child,40
39562,"my 10 months baby have no taken any food itself , i have to give it forcefully what i do?",13
39574,my son is 9month now wt type of food shl I give,6
39588,my daughter is 11 &half a month but her weight is only 8kg what can I do to gain my baby weio,6
39598,Hi... my daughter 8 mnth old wht diet n food can we give her...,17
39607,what food should be given to 6 month baby,2
39645,What type of food I give to my 10 month baby girl.,93
39653,Diet chart for 5 mths baby,2
39670,Diet for six months baby.. I can give cerelac????,2
39678,hi my baby girl age 5mns so she weight 6. 5. is it OK,31
39688,my son is 5 months old.... in 6th month what solid food should I start first,2
39719,my baby age is11 month. still she just walk with support. wat type of food can give for her energy,17
39726,my baby is not taking formula milk with bottle at 9th months  n m not lactating at all,17
39769,my baby is 9 month old pls suggest food I feel he doesn't gain much weight ..,6
39772,hello my daughter is 8 months old what should I give her to fulfill her nutrition,40
39775,hello now my baby is 6 month started what food I should start her,2
39776,hi. my baby is 11 month old ND her weight is only 6. 5 kg. which type of food I should give her..,6
39779,my baby is 8 month old and what nutritious food should I give to her?,40
39812,hi all???can i give rice water for my 6 month baby???,2
69862,"Hi, how to start with baby weaning?",2
69869,give me suggestions about food my 6month baby wht to eat nw?n which fruit i hv to give baby,2
69874,hai my baby born with  3. 5 kg now she is 6 month old and weight is only  5. 3 kg,13
69938,hii dis s puja ma baby s abt to 5 mth cn I gv hr rice watr..,2
69943,which type of food to be given my 6months old baby?he is completely on breast feed,2
69971,Hi my daughter is 3 months and 20 days old and weighs 4. 5 kg . How to help her gain weight?,7
70013,My baby is 9 months old and she weights 7. 65kgs. is It normal,31
70019,hi.. my baby is 9 months old. his weight is jus 6. 4kg. how to increase his weight,6
70051,need a food chart for 6. 5 month baby ...,2
70068,Hi my son nw enter in to 5th mnth  can I start food for him ?,100
70089,Hi my baby is so weak how to gain weight in her by healthy way,13
70113,My baby boy 11 month he doesn't eating anything only for mother feed. What to do?,13
70119,food for my baby,40
70137,pls suggest 7n half month baby foods chart,17
70159,what can I give to my baby? she is 5 month old,2
70170,hi my baby wil be completing 6 months now wat food i should start in starting days,2
70186,what to feed to 6 mth old,2
70193,my son not having food proparlly tell what kind of food shell give,17
70227,my baby is 5th month old. breastfeeding not available for me. what to do?now I feed enfamil milk,7
70231,hi. my baby jus turned 6 months. wat can I start with ?,2
70234,normal weight for 9mnths baby,31
70238,Which type food  I give  to my 9th month baby?,40
70251,can u suggest some solid food I can Start with my 8th month lil one?,17
70281,my baby is  7 month old what food I should gave him?,40
70303,hii. my baby is 6 month old. what type of food should I give to make her healthy..,2
70393,Tell some nutritional foods for my 11 months baby,17
70397,Will you suggest food for 7 month old baby at dinner ?,17
70409,Hi I want to ask that wat is the most nutritious and healthy food for my baby,40
70460,can i start formula milk and cerlac to my 4 months boy and suggest some. juices,100
70499,My son is 6th month I want know what food wt is 6. 5kgs,2
70532,"sakshi ,what type of food i should give for physical development",40
70589,what should i give to my 7 month old baby except breast feeding.,40
70606,what food can be given to my 7 month old boy apart from khichri and cerelac,40
70614,what type of food for brain development maximun sakshi,40
70666,is giving ceralac safe for 7 months baby?,17
70673,What food I can give to my 6 months baby apart from breastfeeding?,2
70719,My baby is 8 month old his weight is 6. 8 what ti do for weight increase?,6
70737,"Hi,Is it recommended to give fresh non poisonous tomato juice to my 5 month old baby girl",100
70746,"hello mam/sir, Wat can I feed for my 6months baby? can u Pls lemme know.",5
70767,Hi my daughter is 11mnths old n is only 7kgs. kindly suggest nutrition for her weight gain.,6
70791,my son is 8 month old .so what foods should include to his diet,40
70810,can you please suggest diet schedule for my 6 month baby,2
70823,please suggest me diet chart for 7 month old babyreena,17
70846,my daughter complete 6month now suggest me Sam recipes .,5
70849,my baby is going to enter in 7 month soon. may I give him any other food now. plz suggest me.,10
70853,"my 7. 5 month old baby girl weight is only 6. 8 kg. so I am worried,what can I do",6
70856,my baby is 5 & half months old. is it ok if i give 1 banana a day to her. plz suggest,5
70908,Hi my baby is 9months old can I start with diary milk... please suggest me with your ideas,7
71020,hi my baby is 2 months old wen i can give other food to my baby other than milk,100
71029,pls suggest the six month baby food,2
71039,can I give solid food to my 5month old baby?,100
71080,Instead of cerelac and other instant food what can I feed my boy in home?,100
71130,my child is not eating any rice or veggies .how i can make him to eat it?,6
71159,How to introduce solids to my 6months old baby?,5
71208,my baby is 6 months.... any good recipes I can give him,5
71383,Hyy.... I jst want to know breakfast recepies for 1 yr old baby. Pls share sum.,56
71474,Thanks. But my baby refused to take formula milk. What shall I do?,7
71568,can i give rice soup?,100
71573,My baby 9 month  old what kind of food to prepare to baby becose he is not eating anything,17
71576,Tell me the healthy food for my child,17
71601,which are the nutrition food for 8 months baby,40
71605,what type of food I can give to my 1 year old baby,17
71613,how to balance breast feed and top feed together for 3 months boy,7
71636,what type of food can be given to a baby after 90days,100
71693,what all food can I give to my 9 month baby ....recepies??,40
71738,meal planing  at 7 mth,17
71809,when can i strt giving food liquid to my LO. she is 3 n half mnths now,100
71851,Can I gv boiled and smashed potato from 4months,100
71870,hello my baby is 10 months old please suggest healthy food for her,40
71871,what should b ideal diet for 9th month old babyand pls tell me sone ragi recipy,40
71916,diet for six month baby,2
71940,hii my daughter is 8 months 1wk old. her wt is 8kgs.. is it OK?,31
71971,what should b diet plan for 6 mnths baby boy... I have to start him feeding,5
71989,my son is 10 months. can I give him chapatti n  sabji.. n rice also...,40
71990,hi. please suggest food for winter for babies 8- 12 months,40
72021,can I give orange juice to my five month old baby? if yes how much I can give on 1 day?,100
72042,hello... i want to ask tht Shd i start giving cow milk or formula milk to my 8 nd half month baby?,7
72043,ma baby is 11month plz tell me d diet i should feed her... as she want something new in food,40
72081,how to improve weight of one year baby,6
72123,What should be given to 6 months baby,5
72125,my baby does not want to take any type of milk. she take only my feed. what should I do?,7
72134,"Hi.. my baby is 6 months old,What can I feed him? I have started with mug daal water.",5
72157,my baby is 7months old.... he takes little semi foods.... now also hi is more depend on brestfeed,17
72188,can I have salad while Breastfeeding? what all should be avoided?,7
77133,"my baby 9 months old he doesn't eat proper food . like that khichdi, soup, fruits etc. 9",17
77171,what all to give to my 6 months old baby. please let me know I am very tensed..,5
77173,he does not want to take solid food aldo...,17
72190,my baby refuse all semi solids food and milk also... What can i do?,5
77193,What can i give to my 7 months old baby.. ?,17
77249,she was not having her food properly wat to do,17
77253,my son is 6 month old now. can u tell me the food chart?,5
77254,my baby is 1yr oldshe want only spicy food (cerelac)want I will prepare for she..... home made,17
77288,my child is 1year old which type of diet we give him,40
77324,my baby is 6 months old now? what should I give him to eat in the start?,5
77368,cn I gv oats to my baby she is 9 months old n what more I can start,40
77432,Hi all my son is 8 months he is not at all accepting any type of foods what could be the reason?,17
77457,pls share 11 month baby food chart,17
77478,what kind of food I have to give fr my 5mnth baby,100
77496,Plzz give me 9 month baby food chart,40
77528,"my daughter one year old, which type of food can give to put on weight.",6
77538,how to increase breast feed,7
77571,hi my son is 6 now. plz suggest diet chart. along with the meal timings. thanks,2
77678,my son is 8mnths old... what diet new food can I give him...,40
77718,my baby girl is now 1 year old.. so what to feed to her now.. is okay if she eats chapati etc????,40
77738,6mnth of baby food plz suggest... what should i giver 2 her in the ist stage,5
77760,what shld b the diet plan for 6 month old child. he don't wanna have formula milk,5
